,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
532,obrigado guiar soluçao problema,Consegui solucionar meu problema podemos encerrar a conversa,estou descontente com a falta de profissionalismo,Gostaria de saber qual o melhor combustivel para utilizar na minha maquina,eae
533,Agradeço pela soluçao,consegui solucionar problema podemos encerrar conversa,descontente falta profissionalismo,gostaria saber melhor combustivel utilizar maquina,e ae
534,agradeço soluçao,Muito obrigado pela assistencia encerrando agora,estou descontente com a falta de profissionalismo,O sistema de refrigeraçao do meu equipamento esta com problemas o que devo verificar,ae
535,Estou extremamente agradecido por ter solucionado meu problema eletrico rapidamente,obrigado assistencia encerrando agora,nao estou feliz com a falta de agilidade na resoluçao,sistema refrigeraçao equipamento problemas devo verificar,esta bem
536,extremamente agradecido ter solucionado problema eletrico rapidamente,Encerrar dialogo agradeço pela ajuda,nao feliz falta agilidade resoluçao,estou com dificuldade,bem
537,Excelente suporte agradeço muito,encerrar dialogo agradeço ajuda,nao estou feliz com a falta de agilidade na resoluçao,dificuldade,salve
538,excelente suporte agradeço,Obrigado foi util,estou chateado com a falta de suporte adequado,preciso de ajuda,seja bem vindo
539,Agradeço pela soluçao do meu problema,obrigado util,chateado falta suporte adequado,preciso ajuda,oi como vai
540,agradeço soluçao problema,Encerrar chatbot obrigado pelo suporte,estou chateado com a falta de suporte adequado,alguem pode me ajudar,oi seja bem vindo
541,Obrigado pelo suporte profissional e cordial,encerrar chatbot obrigado suporte,nao gostei da falta de atençao ao meu caso,alguem pode ajudar,ola e um prazer te ver
542,obrigado suporte profissional cordial,Entendi tudo o que precisava encerrar atendimento,nao gostei falta atençao caso,nao sei o que fazer,ola prazer ver
543,Agradeço por terem ajudado a manter minha fabrica em operaçao,entendi tudo precisava encerrar atendimento,nao gostei da falta de atençao ao meu caso,nao sei fazer,oi que bom que voce veio
544,agradeço terem ajudado manter fabrica operaçao,Ok muito obrigado,estou insatisfeito com a falta de empatia e compreensao,estou perdido,oi bom voce veio
545,Agradeço pela rapidez na soluçao do problema,ok obrigado,insatisfeito falta empatia compreensao,perdido,ola como posso ajudar
546,agradeço rapidez soluçao problema,Por hoje e so encerrar atendimento,estou insatisfeito com a falta de empatia e compreensao,estou com dificuldades,oi estou aqui para ajudar
547,Estou muito grato pela ajuda,hoje so encerrar atendimento,nao estou contente com a falta de eficacia,dificuldades,oi aqui ajudar
548,grato ajuda,Encerrar atendimento obrigado pelo tempo dispensado,nao contente falta eficacia,estou com uma duvida,oi o que voce precisa
549,Muito obrigado pelo auxilio na minha demanda,encerrar atendimento obrigado tempo dispensado,nao estou contente com a falta de eficacia,duvida,oi voce precisa
550,obrigado auxilio demanda,Encerrar chat agradecido pela ajuda,estou irritado com a falta de resposta adequada,nao entendo,oi como posso ser util
551,Fico grato por toda ajuda e suporte,encerrar chat agradecido ajuda,irritado falta resposta adequada,como resolver,oi precisando de alguma assistencia
552,fico grato toda ajuda suporte,Obrigado pela ajuda encerrar conversa,estou irritado com a falta de resposta adequada,resolver,oi precisando alguma assistencia
553,Grato pela atençao,Agradeço pelas soluçoes apresentadas encerrando a conversa,estou desapontado com a demora na resposta,o que devo fazer,oi em que posso auxiliar
554,grato atençao,agradeço soluçoes apresentadas encerrando conversa,desapontado demora resposta,devo fazer,oi estou a disposiçao
555,Muito obrigado pela prontidao,Agradeço a assistencia podemos encerrar,estou desapontado com a demora na resposta,estou empacado,oi disposiçao
556,obrigado prontidao,agradeço assistencia podemos encerrar,nao gostei da falta de soluçao para o meu problema,empacado,oi posso ajudar em algo
557,Agradecido pela atençao dada a minha solicitaçao,Muito obrigado pelo atendimento vamos finalizar a conversa,nao gostei falta soluçao problema,socorro,oi o que posso fazer por voce hoje
558,agradecido atençao dada solicitaçao,obrigado atendimento vamos finalizar conversa,nao gostei da falta de soluçao para o meu problema,nao consigo,oi posso fazer voce hoje
559,Voces sao incriveis muito obrigado pela ajuda,Encerrar dialogo agora,estou insatisfeito com a falta de suporte tecnico adequado,estou confuso,oi estou pronto para responder suas duvidas
560,voces sao incriveis obrigado ajuda,encerrar dialogo agora,insatisfeito falta suporte tecnico adequado,confuso,oi pronto responder duvidas
561,vox sao incriveis obrigado ajuda,Obrigado a pela assistencia prestada,estou insatisfeito com a falta de suporte tecnico adequado,estou com uma dificuldade,oi como posso contribuir
562,Fiquei imensamente agradecido por ter ajudado a resolver meu problema mecanico,obrigado assistencia prestada,estou insatisfeito com a falta de clareza nas informaçoes,preciso de suporte,oi posso contribuir
563,fiquei imensamente agradecido ter ajudado resolver problema mecanico,Encerrar dialogo obrigado pela assistencia,nao estou satisfeito com a falta de cumprimento das promessas,preciso suporte,oi estou aqui para te ajudar
564,Parabens pelo trabalho e obrigado,encerrar dialogo obrigado assistencia,nao estou contente com a falta de transparencia nas informaçoes,estou enfrentando um problema,oi estou disponivel para qualquer pergunta
565,parabens trabalho obrigado,Muito obrigado pela ajuda,nao estou feliz com a falta de cumprimento dos acordos,enfrentando problema,oi disponivel qualquer pergunta
566,Estou muito agradecido por ter resolvido minha falha no motor,Encerrar dialogo obrigado,nao estou satisfeito com a falta de cuidado com as demandas dos clientes,alguma sugestao,oi em que posso colaborar
567,agradecido ter resolvido falha motor,encerrar dialogo obrigado,estou insatisfeito com a falta de agilidade nas respostas,estou com um contratempo,oi posso colaborar
568,Obrigado pela resposta rapida,Agradeço pela atençao ate mais,isso ultrapassa todos os limites,contratempo,oi qual e a sua duvida
569,obrigado resposta rapida,agradeço atençao ate,O prazo de entrega nao foi cumprido,estou com um obstaculo,oi o que voce gostaria de saber
570,Obrigado pela paciencia,Solucionei meu problema Obrigado a,prazo entrega nao cumprido,obstaculo,oi voce gostaria saber
571,Agradecido pela cordialidade,solucionei problema obrigado,Nao gostei do prazo de entrega,o que posso fazer,oi estou pronto para começar
572,agradecido cordialidade,Encerrar a conversa obrigado pelo suporte,nao gostei prazo entrega,posso fazer,oi pronto começar
573,Obrigado por terem resolvido o problema de forma tao eficiente,encerrar conversa obrigado suporte,O produto veio com defeito,estou com um desafio,oi estou aqui para esclarecer suas questoes
574,obrigado terem resolvido problema forma tao eficiente,Encerrar conversa agradeço pela ajuda,produto veio defeito,desafio,oi aqui esclarecer questoes
575,Excelente atendimento Obrigado,encerrar conversa agradeço ajuda,Sinto me prejudicado com o serviço prestado,estou com um dilema,oi como posso te auxiliar hoje
576,excelente atendimento obrigado,Muito obrigado pela assistencia finalizando a conversa,sinto prejudicado serviço prestado,dilema,oi posso auxiliar hoje
577,Muito obrigado,obrigado assistencia finalizando conversa,Senti falta de informaçoes claras sobre o produto,alguma ideia,oi estou preparado para te ajudar no que precisar
578,Agradeço pela gentileza e presteza,Ja entendi tudo que precisava podemos encerrar a conversa,senti falta informaçoes claras sobre produto,nao sei por onde começar,oi preparado ajudar precisar
579,agradeço gentileza presteza,ja entendi tudo precisava podemos encerrar conversa,sent falta informaçoes claras sobre produto,nao sei onde começar,oi o que posso fazer por voce agora
580,Obrigado por me ajudar a resolver o problema,Agradeço pela ajuda do chatbot encerrar conversa,Nao gostei do atendimento recebido,estou com dificuldade para resolver,oi posso fazer voce agora
581,Obrigado pela rapidez na resoluçao do meu problema,agradeço ajuda chatbot encerrar conversa,nao gostei atendimento recebido,dificuldade resolver,oi estou a sua disposiçao
582,obrigado rapidez resoluçao problema,Preciso ir agora mas obrigado pela ajuda,O atendimento deixou muito a desejar,estou com uma dificuldade enorme,oi como posso ser util hoje
583,Obrigado pela presteza,preciso ir agora obrigado ajuda,atendimento deixou desejar,dificuldade enorme,oi estou aqui para responder suas perguntas
584,obrigado presteza,Preciso ir agora ma obrigado pela ajuda,O produto chegou com defeito,estou com uma dificuldade imensa,oi aqui responder perguntas
585,Muito obrigado por ter me dado a soluçao,preciso ir agora ma obrigado ajuda,produto chegou defeito,dificuldade imensa,oi em que posso te ajudar nesta conversa
586,obrigado ter dado soluçao,Encerrar o atendimento obrigado,Esperava mais profissionalismo da empresa,preciso de orientaçao,oi posso ajudar nesta conversa
587,Agradeço pelo excelente atendimento e soluçao do meu problema,encerrar atendimento obrigado,esperava profissionalismo empresa,preciso orientaçao,oi estou pronto para te guiar
588,agradeço excelente atendimento soluçao problema,Encerrar conversa obrigado,Fui mal atendido pelo suporte,estou enfrentando um obstaculo,oi pronto guiar
589,Obrigado por me orientar nessa situaçao,encerrar conversa obrigado,mal atendido suporte,enfrentando obstaculo,oi qual e o seu interesse
590,obrigado orientar nessa situaçao,Ja tenho a informaçao necessaria encerrando a conversa,O produto que me foi entregue estava danificado,preciso superar um desafio,oi interesse
591,Sua ajuda foi essencial para restaurar a eficiencia da minha maquina,ja informaçao necessaria encerrando conversa,produto entregue danificado,preciso superar desafio,oi estou aqui para te dar suporte
592,ajuda essencial restaurar eficiencia maquina,Agradeço pela ajuda finalizar conversa,O atendente nao foi prestativo,estou com um desafio complicado,oi aqui dar suporte
593,Grato pela rapida resoluçao do meu problema eletrico,agradeço ajuda finalizar conversa,atendente nao prestativo,desafio complicado,oi como posso facilitar a sua vida
594,grato rapida resoluçao problema eletrico,Excelente atendimento obrigado a,O produto nao atendeu as minhas expectativas,algum conselho,oi posso facilitar vida
595,Obrigado pela ajuda com o meu maquinario,excelente atendimento obrigado,produto nao atendeu expectativas,nao sei como lidar com isso,oi estou aqui para tornar sua experiencia melhor
596,obrigado ajuda maquinario,Foi um prazer conversar contigo ate a proxima,O produto nao atendeu a minhas expectativas,nao sei lidar,oi aqui tornar experiencia melhor
597,Grato pela eficiencia na soluçao do meu problema,prazer conversar contigo ate proxima,Nao estou satisfeito com o valor cobrado,estou com dificuldades para lidar,oi o que voce gostaria de discutir
598,grato eficiencia soluçao problema,Preciso me concentrar agora encerrar,nao satisfeito valor cobrado,dificuldades lidar,oi voce gostaria discutir
599,Agradecimentos pela otima assistencia prestada,preciso concentrar agora encerrar,Nao recebi meu reembolso ate agora,estou com dificuldades para entender,oi em que posso te orientar
600,agradecimentos otima assistencia prestada,Foi muito util podemos encerrar agora,nao recebi reembolso ate agora,dificuldades entender,oi posso orientar
601,Agradeço pela sua paciencia em me ajudar a resolver o problema,util podemos encerrar agora,Nao recebi o suporte necessario para solucionar meu problema,preciso de um direcionamento,oi estou pronto para te atender
602,agradeço paciencia ajudar resolver problema,Adeus,nao recebi suporte necessario solucionar problema,preciso direcionamento,oi pronto atender
603,Muito obrigado pela sua assistencia,Agradeço pelo suporte vamos encerrar a conversa,O serviço nao atendeu minhas expectativas,estou com dificuldades para encontrar uma soluçao,oi como posso tornar seu dia melhor
604,Nao sei o que faria sem a ajuda de voces obrigado,agradeço suporte vamos encerrar conversa,serviço nao atendeu expectativas,dificuldades encontrar soluçao,oi posso tornar dia melhor
605,nao sei faria ajuda voces obrigado,Obrigado pela ajuda encerrando a conversa,Estou decepcionado com a qualidade do produto,estou com dificuldades para resolver,oi estou aqui para te acompanhar nesta jornada
606,Nao sei o que faria sem a ajuda de vox obrigado,obrigado ajuda encerrando conversa,decepcionado qualidade produto,dificuldades resolver,oi aqui acompanhar nesta jornada
607,nao sei faria ajuda vox obrigado,Obrigado pelas orientaçoes encerrando aqui,O serviço que contratei nao foi conforme o combinado,estou com dificuldades para prosseguir,oi qual e o seu objetivo
608,Obrigado por terem sido solicitos,obrigado orientaçoes encerrando aqui,serviço contratei nao conforme combinado,dificuldades prosseguir,oi objetivo
609,obrigado terem sido solicitos,Devo ir agora muito obrigado,Fiquei insatisfeito com a demora na entrega,estou com dificuldades para avançar,oi estou pronto para te oferecer minha ajuda
610,Agradeço pela ajuda tecnica prestada,devo ir agora obrigado,fiquei insatisfeito demora entrega,dificuldades avançar,oi pronto oferecer ajuda
611,agradeço ajuda tecnica prestada,Obrigado pelo suporte podemos encerrar a conversa,O serviço que recebi nao foi de qualidade,estou com dificuldades para progredir,oi como posso te deixar mais confortavel
612,Obrigado pela resposta esclarecedora,obrigado suporte podemos encerrar conversa,serviço recebi nao qualidade,dificuldades progredir,oi posso deixar confortavel
613,obrigado resposta esclarecedora,Encerrar atendimento obrigado pela paciencia,Nao estou gostando do produto,alguma ajuda,oi estou aqui para te apoiar
614,Obrigado por ter me ajudado a economizar tempo e dinheiro,encerrar atendimento obrigado paciencia,nao gostando produto,estou com dificuldades para tomar uma decisao,oi aqui apoiar
615,obrigado ter ajudado economizar tempo dinheiro,Por enquanto e so encerrando,Estou descontente com o atendimento recebido,dificuldades tomar decisao,oi o que voce deseja conversar
616,Fiquei muito feliz com o resultado agradeço a dedicaçao de voces,enquanto so encerrando,descontente atendimento recebido,nao sei como resolver isso pode me auxiliar,oi voce deseja conversar
617,fiquei feliz resultado agradeço dedicaçao voces,Nos falamos depois,Nao gostei da forma como fui tratado pela empresa,nao sei resolver pode auxiliar,oi em que posso te auxiliar hoje
618,Fiquei muito feliz com o resultado agradeço a dedicaçao de vox,falamos,nao gostei forma tratado empresa,estou com um problema complicado e preciso de ajuda,oi estou preparado para te dar todo o suporte necessario
619,fiquei feliz resultado agradeço dedicaçao vox,Foi bom conversar com voce,O produto que comprei nao corresponde a descriçao,problema complicado preciso ajuda,oi preparado dar todo suporte necessario
620,Agradeço pela orientaçao precisa e pontual,Foi bom conversar,produto comprei nao corresponde descriçao,por favor me de uma maozinha com isso,oi como posso te servir
621,agradeço orientaçao precisa pontual,bom conversar,Nao estou satisfeito com o produto que comprei,favor maozinha,oi posso servir
622,Ótimo atendimento obrigado,Ate breve,O aplicativo apresentou falhas durante o uso,estou enfrentando uma situaçao dificil sera que voce pode me orientar,oi estou aqui para te guiar no processo
623,ótimo atendimento obrigado,Hora de partir adeus,aplicativo apresentou falhas durante uso,enfrentando situaçao dificil sera voce pode orientar,oi aqui guiar processo
624,otimo atendimento obrigado,hora partir adeus,O serviço prestado foi de baixa qualidade,estou enfrentando uma situaçao dificil serum que voce pode me orientar,oi qual e a sua expectativa
625,Obrigado pela orientaçao na soluçao do meu problema,Parando,serviço prestado baixa qualidade,enfrentando situaçao dificil serum voce pode orientar,oi expectativa
626,obrigado orientaçao soluçao problema,parando,Nao gostei da qualidade do produto,preciso de suporte para solucionar um problema,oi estou pronto para te oferecer a melhor soluçao
627,Grato pela presteza no atendimento,Ja tirei todas as minhas duvidas obrigado,nao gostei qualidade produto,preciso suporte solucionar problema,oi pronto oferecer melhor soluçao
628,grato presteza atendimento,ja tirei todas duvidas obrigado,Nao recomendaria a empresa para ninguem,estou com dificuldades para encontrar uma soluçao pode me ajudar,oi estou aqui
629,Nao existem palavras para descrever minha gratidao por toda ajuda,Ja tirei toda a minhas duvidas obrigado,nao recomendaria empresa ninguem,dificuldades encontrar soluçao pode ajudar,oi aqui
630,nao existem palavras descrever gratidao toda ajuda,ja tirei toda duvidas obrigado,Nao fui bem atendido,tenho uma dificuldade e gostaria de pedir sua ajuda,ola preciso de ajuda
631,Obrigado pela ajuda,Acho que ja esta resolvido vou encerrar a conversa,nao bem atendido,dificuldade gostaria pedir ajuda,ei alguem pode me ajudar
632,Obrigado por me ajudar a entender o problema,acho ja resolvido vou encerrar conversa,A empresa nao cumpriu com o prazo combinado,estou com um desafio e preciso de orientaçao para supera lo,ei alguem pode ajudar
633,obrigado ajudar entender problema,Fechando,empresa nao cumpriu prazo combinado,desafio preciso orientaçao supera lo,oi estou com algumas duvidas
634,Muito grato pela sua ajuda,fechando,Nao recebi o produto dentro do prazo,nao consigo entender o que esta acontecendo pode me explicar,oi algumas duvidas
635,Sinceramente agradecido pela ajuda,Finalizando,nao recebi produto dentro prazo,nao consigo entender acontecendo pode explicar,ola gostaria de fazer algumas perguntas
636,sinceramente agradecido ajuda,finalizando,Tive uma experiencia ruim com o aplicativo da empresa,estou com um contratempo e preciso de assistencia,ola gostaria fazer algumas perguntas
637,Agradeço muito pela rapidez na soluçao do problema,Finalizando a conversa,experiencia ruim aplicativo empresa,contratempo preciso assistencia,oi sera que voce pode me auxiliar
638,Muito obrigado por terem salvo meu dia,finalizando conversa,Minha reclamaçao nao foi resolvida,estou com uma dificuldade enorme e preciso de alguem que possa me auxiliar,oi sera voce pode auxiliar
639,obrigado terem salvo dia,Encerrando por aqui,reclamaçao nao resolvida,dificuldade enorme preciso alguem possa auxiliar,oi serum que voce pode me auxiliar
640,Muito obrigado pela assistencia,encerrando aqui,Nao consigo contato com a empresa para solucionar meu problema,nao sei como lidar com isso sera que voce pode me dar um conselho,oi serum voce pode auxiliar
641,Agradeço sua orientaçao,Encerrado,nao consigo contato empresa solucionar problema,nao sei lidar sera voce pode dar conselho,e ai alguem pode me dar uma maozinha
642,Agradeço pelo atendimento de primeira qualidade,encerrado,Estou insatisfeito com o atendimento,nao sei como lidar com isso serum que voce pode me dar um conselho,ai alguem pode dar maozinha
643,agradeço atendimento primeira qualidade,Vou sair agora,insatisfeito atendimento,nao sei lidar serum voce pode dar conselho,oi estou um pouco perdido alguem pode me orientar
644,Mais uma vez agradeço pelo atendimento impecavel,vou sair agora,Nao tive uma boa experiencia de compra,estou enfrentando um problema e nao sei por onde começar pode me dar um norte,oi pouco perdido alguem pode orientar
645,vez agradeço atendimento impecavel,Obrigado encerrando,nao boa experiencia compra,enfrentando problema nao sei onde começar pode dar norte,oi preciso de uma informaçao
646,Obrigado pela paciencia e disposiçao em me ajudar,obrigado encerrando,O produto que recebi nao estava em boas condiçoes,estou com dificuldades para resolver isso precisa de sugestoes,oi preciso informaçao
647,obrigado paciencia disposiçao ajudar,Ate mais,produto recebi nao boas condiçoes,dificuldades resolver precisa sugestoes,oi estou com um problema e nao sei como resolver
648,Agradeço pela atençao dispensada,Vamos encerrar por aqui,O produto que recebi nao estava em boa condiçoes,preciso superar um obstaculo pode me ajudar a encontrar uma soluçao,oi problema nao sei resolver
649,agradeço atençao dispensada,vamos encerrar aqui,produto recebi nao boa condiçoes,preciso superar obstaculo pode ajudar encontrar soluçao,oi gostaria de tirar uma duvida
650,Esta tudo funcionando perfeitamente obrigado,Encerrando a sessao,Tive problemas para realizar o pagamento,estou com dificuldades para progredir nesse assunto preciso de suporte,oi gostaria tirar duvida
651,tudo funcionando perfeitamente obrigado,encerrando sessao,problemas realizar pagamento,dificuldades progredir nesse assunto preciso suporte,ei tem alguem disponivel para me ajudar
652,Agradeço pela soluçao encontrada,Acho que ja podemos encerrar,Nao gostei do produto que recebi,estou com uma dificuldade imensa e nao sei como resolver pode me guiar,ei alguem disponivel ajudar
653,agradeço soluçao encontrada,acho ja podemos encerrar,nao gostei produto recebi,dificuldade imensa nao sei resolver pode guiar,oi estou com dificuldades e gostaria de uma orientaçao
654,A soluçao apresentada foi muito eficaz e estou muito grato,Fico feliz em ter aprendido mais sobre isso ate mais,Estou descontente com a qualidade do produto,nao estou conseguindo encontrar uma soluçao voce pode me dar algumas ideias,oi dificuldades gostaria orientaçao
655,soluçao apresentada eficaz grato,fico feliz ter aprendido sobre ate,descontente qualidade produto,nao conseguindo encontrar soluçao voce pode dar algumas ideias,ola preciso de uma soluçao para o meu caso
656,Muito obrigado por ter resolvido o meu problema,Ate logo,Fiquei chateado com a forma como fui tratado,estou com um dilema e preciso de ajuda para tomar uma decisao,ola preciso soluçao caso
657,obrigado ter resolvido problema,A conversa foi util vou desligar agora,fiquei chateado forma tratado,dilema preciso ajuda tomar decisao,oi estou enfrentando um desafio e preciso de assistencia
658,Agradecido por toda a ajuda prestada,conversa util vou desligar agora,Fui cobrado de forma indevida,estou com dificuldades para lidar com isso precisa de orientaçoes,oi enfrentando desafio preciso assistencia
659,agradecido toda ajuda prestada,Bye,cobrado forma indevida,dificuldades lidar precisa orientaçoes,oi alguem pode me dar um suporte
660,Obrigado por ter me orientado na soluçao do problema voce foi muito prestativo,Despedindo,Nao gostei do tratamento que recebi do atendente,nao entendo o que esta acontecendo voce pode me ajudar a compreender,oi alguem pode dar suporte
661,obrigado ter orientado soluçao problema voce prestativo,despedindo,nao gostei tratamento recebi atendente,nao entendo acontecendo voce pode ajudar compreender,oi preciso de alguem que possa me auxiliar neste assunto
662,Agradeço pela informaçao,Obrigado pela ajuda,Fui maltratado pelo funcionario,estou com um problema complexo e preciso de assistencia especializada,oi preciso alguem possa auxiliar neste assunto
663,agradeço informaçao,Obrigado pela conversa,maltratado funcionario,problema complexo preciso assistencia especializada,e ai alguem pode me dar uma força
664,Agradeço pelo esforço,obrigado conversa,Fui mal atendido a pela empresa,estou com dificuldades para avançar nessa questao preciso de direcionamento,ai alguem pode dar força
665,agradeço esforço,Vou encerrar a conversa por aqui,mal atendido empresa,dificuldades avançar nessa questao preciso direcionamento,oi estou com um problema tecnico e preciso de ajuda
666,Agradeço a ajuda prestada,vou encerrar conversa aqui,Estou insatisfeito com a qualidade do serviço prestado,estou enfrentando um desafio complicado voce tem alguma sugestao,oi problema tecnico preciso ajuda
667,agradeço ajuda prestada,Encerrando,insatisfeito qualidade serviço prestado,enfrentando desafio complicado voce alguma sugestao,oi preciso de orientaçoes sobre o procedimento correto
668,Grato pelo excelente atendimento,encerrando,Nao concordo com a taxa cobrada,estou com dificuldades para prosseguir precisa de ajuda,oi preciso orientaçoes sobre procedimento correto
669,grato excelente atendimento,Vou me despedir por aqui,nao concordo taxa cobrada,dificuldades prosseguir precisa ajuda,oi alguem pode me explicar como fazer isso
670,Aproveito para agradecer,vou despedir aqui,Nao concordo com a taxon cobrada,nao sei o que fazer pode me auxiliar,oi alguem pode explicar fazer
671,aproveito agradecer,Encerrando a conversa agora,nao concordo taxon cobrada,nao sei fazer pode auxiliar,ola estou com dificuldades para prosseguir alguem pode me orientar
672,Nao sei como agradecer,Gostei de falar com voce encerrando,Recebi um produto diferente do que foi anunciado,estou com dificuldades para tomar uma decisao preciso de orientaçoes,ola dificuldades prosseguir alguem pode orientar
673,nao sei agradecer,gostei falar voce encerrando,recebi produto diferente anunciado,dificuldades tomar decisao preciso orientaçoes,oi gostaria de pedir ajuda com um assunto especifico
674,Foi muito gentil obrigado,Vamos falar depois,Meu problema nao foi solucionado adequadamente,estou com um obstaculo no caminho e preciso supera lo pode me guiar,oi gostaria pedir ajuda assunto especifico
675,gentil obrigado,vamos falar,problema nao solucionado adequadamente,obstaculo caminho preciso supera lo pode guiar,oi alguem esta disponivel para me dar suporte tecnico
676,Obrigada,Encerra,Nao estou satisfeito com o desempenho do meu equipamento,estou com uma dificuldade enorme e nao sei como resolver voce tem alguma ideia,oi alguem disponivel dar suporte tecnico
677,Obrigado,encerra,nao satisfeito desempenho equipamento,dificuldade enorme nao sei resolver voce alguma ideia,ei preciso de alguem que possa me dar algumas informaçoes
678,Nao tenho palavras para agradecer,Acho que ja conversamos bastante Vamos encerrar,Acredito que o problema em minha maquina poderia ter sido evitado com melhores recomendaçoes de uso,nao consigo lidar com isso sozinho preciso de ajuda,ei preciso alguem possa dar algumas informaçoes
679,nao palavras agradecer,acho ja conversamos bastante vamos encerrar,acredito problema maquina poderia ter sido evitado melhores recomendaçoes uso,nao consigo lidar sozinho preciso ajuda,oi estou com algumas questoes e gostaria de esclarece las
680,Gratidao,Saindo,Nao estou conseguindo contato com o suporte tecnico,estou com dificuldades para lidar com essa situaçao voce pode me dar um conselho,oi algumas questoes gostaria esclarece las
681,Muito agradecido,saindo,nao conseguindo contato suporte tecnico,dificuldades lidar situaçao voce pode dar conselho,oi estou com algumas questoes e gostaria de esclarece la
682,agradecido,Foi otimo falar com voce,Nao estou conseguindo solucionar um problema na minha maquina,estou com um problema complicado e nao sei por onde começar voce pode me orientar,oi algumas questoes gostaria esclarece la
683,Obrigado pela orientaçao,otimo falar voce,nao conseguindo solucionar problema maquina,problema complicado nao sei onde começar voce pode orientar,oi estou com um contratempo e preciso de orientaçoes
684,obrigado orientaçao,nos vemos em breve,Estou frustrado com a demora no conserto da minha maquina,por favor me ajude,oi contratempo preciso orientaçoes
685,Muito obrigado pelas informaçoes,de boas,frustrado demora conserto maquina,favor ajude,oi alguem pode me guiar no processo
686,obrigado informaçoes,,Nao fiquei satisfeito com a forma como os reparos foram feitos,alguem sabe como resolver isso,oi alguem pode guiar processo
687,Muito obrigado pela resposta rapida,,nao fiquei satisfeito forma reparos feitos,alguem sabe resolver,oi preciso de um auxilio para resolver um problema
688,Muito obrigado a mesmo,,Nao fiquei satisfeito com a forma como o reparos foram feitos,pode me orientar,oi preciso auxilio resolver problema
689,Agradeço de coraçao,,Fiquei insatisfeito com o atendimento ao cliente,pode orientar,ola estou com algumas duvidas e gostaria de obter respostas
690,Obrigado pelo suporte,,fiquei insatisfeito atendimento cliente,necessito de suporte,ola algumas duvidas gostaria obter respostas
691,Muito obrigada mesmo,,Nao estou satisfeito com a manutençao preventiva,necessito suporte,oi alguem pode me ajudar com um pedido
692,Agradecido pela gentileza,,nao satisfeito manutençao preventiva,alguem tem uma soluçao,oi alguem pode ajudar pedido
693,agradecido gentileza,,Problemas tecnicos estao prejudicando meus prazos de entrega,alguem soluçao,oi estou procurando por assistencia em um determinado assunto
694,Fico agradecido a por tudo que tem feito,,problemas tecnicos estao prejudicando prazos entrega,me sinto perdido,oi procurando assistencia determinado assunto
695,fico agradecido tudo feito,,Acho que a manutençao preventiva nao esta sendo realizada adequadamente,sinto perdido,oi preciso de suporte para resolver um impasse
696,Voce foi incrivel obrigado,,acho manutençao preventiva nao sendo realizada adequadamente,estou com dificuldades tecnicas,oi preciso suporte resolver impasse
697,voce incrivel obrigado,,Estou muito insatisfeito com a falta de comunicaçao sobre o andamento do meu caso,dificuldades tecnicas,oi estou em busca de orientaçoes sobre um topico especifico
698,So queria agradecer,,insatisfeito falta comunicaçao sobre andamento caso,nao entendo o que esta acontecendo,oi busca orientaçoes sobre topico especifico
699,so queria agradecer,,Minha empresa precisa de soluçoes mais eficientes para economizar energia,nao entendo acontecendo,oi alguem pode me dar uma mao com uma situaçao
700,Agradeço pela rapidez na resposta,,empresa precisa soluçoes eficientes economizar energia,gostaria de contar com a ajuda de voces,oi alguem pode dar mao situaçao
701,agradeço rapidez resposta,,Acho que os prazos de entrega nao sao respeitados,gostaria contar ajuda voces,oi preciso de ajuda para lidar com uma dificuldade
702,Agradeço muito pela sua ajuda,,acho prazos entrega nao sao respeitados,gostaria de contar com a ajuda de vox,oi preciso ajuda lidar dificuldade
703,Agradeço muito,,Acho que o prazos de entrega nao sao respeitados,gostaria contar ajuda vox,ola estou enfrentando um obstaculo e preciso de auxilio
704,Gratidao pela soluçao do meu problema,,Nao acredito que paguei por um serviço tao ruim,preciso de uma luz,ola enfrentando obstaculo preciso auxilio
705,gratidao soluçao problema,,nao acredito paguei serviço tao ruim,preciso luz,oi alguem pode me oferecer orientaçoes sobre o proximo passo
706,Agradeço muito pela ajuda,,A soluçao apresentada nao pode ser a unica opçao,alguem mais experiente pode me ajudar,oi alguem pode oferecer orientaçoes sobre proximo passo
707,Obrigado a por estar sempre presente,,soluçao apresentada nao pode unica opçao,alguem experiente pode ajudar,oi estou com problemas e preciso de assistencia profissional
708,obrigado sempre presente,,Nao sinto que a equipe esteja realmente empenhada em me ajudar,pode me dar um conselho,oi problemas preciso assistencia profissional
709,Obrigada pela ajuda,,nao sinto equipe esteja realmente empenhada ajudar,pode dar conselho,oi preciso de uma opiniao sobre um assunto especifico
710,Obrigado pelo atendimento,,Estou com problemas de vazamento em uma das minhas maquinas,estou com duvidas,oi preciso opiniao sobre assunto especifico
711,obrigado atendimento,,problemas vazamento maquinas,duvidas,oi alguem pode me auxiliar com um desafio que estou enfrentando
712,Agradeço pela indicaçao,,Estou com problemas de vazamento em uma da minhas maquinas,solicito assistencia,oi alguem pode auxiliar desafio enfrentando
713,agradeço indicaçao,,Nao estou satisfeito com o desempenho da minha maquina,nao consigo resolver sozinho,oi estou em busca de soluçoes para uma questao
714,Agradeço pelo suporte tecnico,,nao satisfeito desempenho maquina,pode me indicar uma soluçao,oi busca soluçoes questao
